SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
50;0.5;25;25;0.0418189218597;2.90187155188
50;0.51;25;25;0.0418189218597;2.90187155188
50;0.52;26;24;0.042884563876;2.94589800465
50;0.53;26;24;0.042884563876;2.94589800465
50;0.54;27;23;0.0432380768501;2.91595655379
50;0.55;27;23;0.0432380768501;2.91595655379
50;0.56;28;22;0.0429724187625;2.89843840218
50;0.57;28;22;0.0429724187625;2.89843840218
50;0.58;29;21;0.0431368135928;2.9790818203
50;0.59;29;21;0.0431368135928;2.9790818203
50;0.6;30;20;0.043704218765;3.01087019035
50;0.61;30;20;0.043704218765;3.01087019035
50;0.62;31;19;0.0418575789939;2.9384488359
50;0.63;31;19;0.0418575789939;2.9384488359
50;0.64;32;18;0.0413118439701;3.02826597168
50;0.65;32;18;0.0413118439701;3.02826597168
50;0.66;33;17;0.0423620249906;3.04873413123
50;0.67;33;17;0.0423620249906;3.04873413123
50;0.68;34;16;0.0410860202128;3.03387866147
50;0.69;34;16;0.0410860202128;3.03387866147
50;0.7;35;15;0.041498612857;3.08558088749
50;0.71;35;15;0.041498612857;3.08558088749
50;0.72;36;14;0.0368380858567;2.8449175997
50;0.73;36;14;0.0368380858567;2.8449175997
50;0.74;37;13;0.025927097415;2.40671952093
50;0.75;37;13;0.025927097415;2.40671952093
50;0.76;38;12;0.0155151837408;1.98347028794
50;0.77;38;12;0.0155151837408;1.98347028794
50;0.78;39;11;0.0150571352988;1.90399033287
50;0.79;39;11;0.0150571352988;1.90399033287
50;0.8;40;10;0.0130685954324;1.77686258346
50;0.81;40;10;0.0130685954324;1.77686258346
50;0.82;41;9;0.0132622634961;1.76465120545
50;0.83;41;9;0.0132622634961;1.76465120545
50;0.84;42;8;0.0158441930983;2.06670549914
50;0.85;42;8;0.0158441930983;2.06670549914
50;0.86;43;7;0.0156301852939;2.01378051981
50;0.87;43;7;0.0156301852939;2.01378051981
50;0.88;44;6;0.0151055281518;1.98622196817
50;0.89;44;6;0.0151055281518;1.98622196817
