SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
50;0.1;5;45;0.065651149235;3.78518590516
50;0.11;5;45;0.065651149235;3.78518590516
50;0.12;6;44;0.0623696123461;3.67188811677
50;0.13;6;44;0.0623696123461;3.67188811677
50;0.14;6;44;0.0623696123461;3.67188811677
50;0.15;7;43;0.0819243676098;4.00745282019
50;0.16;7;43;0.0819243676098;4.00745282019
50;0.17;8;42;0.079029130655;3.96338687474
50;0.18;8;42;0.079029130655;3.96338687474
50;0.19;9;41;0.0649932114468;3.71639180557
50;0.2;9;41;0.0649932114468;3.71639180557
50;0.21;10;40;0.0627127276;3.67853221244
50;0.22;10;40;0.0627127276;3.67853221244
50;0.23;11;39;0.0677602947993;3.77441548808
50;0.24;11;39;0.0677602947993;3.77441548808
50;0.25;12;38;0.0666645543207;3.72628681261
50;0.26;12;38;0.0666645543207;3.72628681261
50;0.27;13;37;0.0650287462766;3.68188942624
50;0.28;13;37;0.0650287462766;3.68188942624
50;0.29;14;36;0.0666522376934;3.74256601361
50;0.3;14;36;0.0666522376934;3.74256601361
50;0.31;15;35;0.0656078380232;3.71349169898
50;0.32;15;35;0.0656078380232;3.71349169898
50;0.33;16;34;0.0697232199736;3.76040686069
50;0.34;16;34;0.0697232199736;3.76040686069
50;0.35;17;33;0.071574065155;3.82433044675
50;0.36;17;33;0.071574065155;3.82433044675
50;0.37;18;32;0.0769881403077;4.01106921465
50;0.38;18;32;0.0769881403077;4.01106921465
50;0.39;19;31;0.0792665318342;4.09455851694
50;0.4;19;31;0.0792665318342;4.09455851694
50;0.41;20;30;0.0819000382588;4.22123051994
50;0.42;20;30;0.0819000382588;4.22123051994
50;0.43;21;29;0.0782109654974;4.04875095527
50;0.44;21;29;0.0782109654974;4.04875095527
50;0.45;22;28;0.0737499628813;3.8663890755
50;0.46;22;28;0.0737499628813;3.8663890755
50;0.47;23;27;0.058950354739;3.41255098145
50;0.48;23;27;0.058950354739;3.41255098145
50;0.49;24;26;0.0597299489334;3.36937712275
50;0.5;24;26;0.0597299489334;3.36937712275
50;0.51;25;25;0.0662572740848;3.45205702904
50;0.52;25;25;0.0662572740848;3.45205702904
50;0.53;26;24;0.0689956472761;3.57718842802
50;0.54;26;24;0.0689956472761;3.57718842802
50;0.55;27;23;0.0717136780275;3.66273156991
50;0.56;27;23;0.0717136780275;3.66273156991
50;0.57;28;22;0.0740625882241;3.66852187208
50;0.58;28;22;0.0740625882241;3.66852187208
50;0.59;29;21;0.0689824726102;3.48930785369
50;0.6;29;21;0.0689824726102;3.48930785369
50;0.61;30;20;0.068702913016;3.44657534436
50;0.62;30;20;0.068702913016;3.44657534436
50;0.63;31;19;0.0697939176735;3.47256179847
50;0.64;31;19;0.0697939176735;3.47256179847
50;0.65;32;18;0.0731655768273;3.57098377013
50;0.66;32;18;0.0731655768273;3.57098377013
50;0.67;33;17;0.0763527668176;3.62455329063
50;0.68;33;17;0.0763527668176;3.62455329063
50;0.69;34;16;0.0810368545058;3.80838898986
50;0.7;34;16;0.0810368545058;3.80838898986
50;0.71;35;15;0.0863379469258;4.01494132204
50;0.72;35;15;0.0863379469258;4.01494132204
50;0.73;36;14;0.0924569965364;4.26784772675
50;0.74;36;14;0.0924569965364;4.26784772675
50;0.75;37;13;0.0995126485199;4.55839741461
50;0.76;37;13;0.0995126485199;4.55839741461
50;0.77;38;12;0.103314136027;4.61836050182
50;0.78;38;12;0.103314136027;4.61836050182
50;0.79;39;11;0.112165333497;4.84586549291
50;0.8;39;11;0.112165333497;4.84586549291
50;0.81;40;10;0.123026564649;5.2184555105
50;0.82;40;10;0.123026564649;5.2184555105
50;0.83;41;9;0.136026683472;5.64073155465
50;0.84;41;9;0.136026683472;5.64073155465
50;0.85;42;8;0.141921264036;5.71259270328
50;0.86;42;8;0.141921264036;5.71259270328
50;0.87;43;7;0.123413091265;5.34751427992
50;0.88;43;7;0.123413091265;5.34751427992
50;0.89;44;6;0.113891268797;4.99560752938
51;0.1;5;46;0.0643822641555;3.73571002292
51;0.11;5;46;0.0643822641555;3.73571002292
51;0.12;6;45;0.0614768281768;3.64884295634
51;0.13;6;45;0.0614768281768;3.64884295634
51;0.14;7;44;0.0809823760763;3.99724407605
51;0.15;7;44;0.0809823760763;3.99724407605
51;0.16;8;43;0.0780064932089;3.94822504616
51;0.17;8;43;0.0780064932089;3.94822504616
51;0.18;9;42;0.0641340589569;3.69950441873
51;0.19;9;42;0.0641340589569;3.69950441873
51;0.2;10;41;0.0619844059927;3.6669980813
51;0.21;10;41;0.0619844059927;3.6669980813
51;0.22;11;40;0.0669546724836;3.76340527787
51;0.23;11;40;0.0669546724836;3.76340527787
51;0.24;12;39;0.0657089188703;3.70849206062
51;0.25;12;39;0.0657089188703;3.70849206062
51;0.26;13;38;0.0638943433007;3.65390831737
51;0.27;13;38;0.0638943433007;3.65390831737
51;0.28;14;37;0.0654432970312;3.71218875078
51;0.29;14;37;0.0654432970312;3.71218875078
51;0.3;15;36;0.0642243275396;3.67209555811
51;0.31;15;36;0.0642243275396;3.67209555811
