SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
50;0.5;25;25;0.0784473318362;3.53580264597
50;0.51;25;25;0.0784473318362;3.53580264597
50;0.52;26;24;0.0815109189695;3.65623472051
50;0.53;26;24;0.0815109189695;3.65623472051
50;0.54;27;23;0.0868021222151;3.81564596785
50;0.55;27;23;0.0868021222151;3.81564596785
50;0.56;28;22;0.0973218339326;4.11023246431
50;0.57;28;22;0.0973218339326;4.11023246431
50;0.58;29;21;0.105981959783;4.43649578271
50;0.59;29;21;0.105981959783;4.43649578271
50;0.6;30;20;0.107903493685;4.55709643643
50;0.61;30;20;0.107903493685;4.55709643643
50;0.62;31;19;0.10288767896;4.39073953549
50;0.63;31;19;0.10288767896;4.39073953549
50;0.64;32;18;0.0979997743322;4.3540264461
50;0.65;32;18;0.0979997743322;4.3540264461
50;0.66;33;17;0.0893384639322;4.24401860449
50;0.67;33;17;0.0893384639322;4.24401860449
50;0.68;34;16;0.0957789123766;4.49807853736
50;0.69;34;16;0.0957789123766;4.49807853736
50;0.7;35;15;0.100742110506;4.62579251263
50;0.71;35;15;0.100742110506;4.62579251263
50;0.72;36;14;0.107866969401;4.84648213594
50;0.73;36;14;0.107866969401;4.84648213594
50;0.74;37;13;0.110508084303;4.86885196029
50;0.75;37;13;0.110508084303;4.86885196029
50;0.76;38;12;0.0892866374382;4.50326354358
50;0.77;38;12;0.0892866374382;4.50326354358
50;0.78;39;11;0.0757001090567;4.10275784178
50;0.79;39;11;0.0757001090567;4.10275784178
50;0.8;40;10;0.0640395679892;3.86983132939
50;0.81;40;10;0.0640395679892;3.86983132939
50;0.82;41;9;0.0575970027394;3.62052147089
50;0.83;41;9;0.0575970027394;3.62052147089
50;0.84;42;8;0.0541968387253;3.42308167075
50;0.85;42;8;0.0541968387253;3.42308167075
50;0.86;43;7;0.0438220370157;3.18562834964
50;0.87;43;7;0.0438220370157;3.18562834964
50;0.88;44;6;0.0381372442275;2.89834797986
50;0.89;44;6;0.0381372442275;2.89834797986
