"Open-7";"Open-6";"Open-5";"Open-4";"Open-3";"Open-2";"Open-1";"Open-0";"High-7";"High-6";"High-5";"High-4";"High-3";"High-2";"High-1";"High-0";"Low-7";"Low-6";"Low-5";"Low-4";"Low-3";"Low-2";"Low-1";"Low-0";"Close-7";"Close-6";"Close-5";"Close-4";"Close-3";"Close-2";"Close-1";"Close-0";"Date";"label"
11.0836;11.0457;11.1747;11.1216;10.9698;11.0153;10.8255;10.9166;11.2203;11.3873;11.3493;11.1216;11.1216;11.0381;11.0533;11.0381;10.8939;10.9774;10.9166;10.78;10.8255;10.6889;10.78;10.5219;11.0153;11.3114;11.0609;10.9394;10.9698;10.7952;10.9318;10.6661;"2014-09-19";10.3093
11.0457;11.1747;11.1216;10.9698;11.0153;10.8255;10.9166;10.7041;11.3873;11.3493;11.1216;11.1216;11.0381;11.0533;11.0381;10.7041;10.9774;10.9166;10.78;10.8255;10.6889;10.78;10.5219;10.3017;11.3114;11.0609;10.9394;10.9698;10.7952;10.9318;10.6661;10.3093;"2014-09-22";10.3397
11.1747;11.1216;10.9698;11.0153;10.8255;10.9166;10.7041;10.2182;11.3493;11.1216;11.1216;11.0381;11.0533;11.0381;10.7041;10.4535;10.9166;10.78;10.8255;10.6889;10.78;10.5219;10.3017;10.1727;11.0609;10.9394;10.9698;10.7952;10.9318;10.6661;10.3093;10.3397;"2014-09-23";10.3397
11.1216;10.9698;11.0153;10.8255;10.9166;10.7041;10.2182;10.2713;11.1216;11.1216;11.0381;11.0533;11.0381;10.7041;10.4535;10.4308;10.78;10.8255;10.6889;10.78;10.5219;10.3017;10.1727;10.2486;10.9394;10.9698;10.7952;10.9318;10.6661;10.3093;10.3397;10.3397;"2014-09-24";10.1651
10.9698;11.0153;10.8255;10.9166;10.7041;10.2182;10.2713;10.2865;11.1216;11.0381;11.0533;11.0381;10.7041;10.4535;10.4308;10.2865;10.8255;10.6889;10.78;10.5219;10.3017;10.1727;10.2486;10.0664;10.9698;10.7952;10.9318;10.6661;10.3093;10.3397;10.3397;10.1651;"2014-09-25";10.5067
11.0153;10.8255;10.9166;10.7041;10.2182;10.2713;10.2865;10.4991;11.0381;11.0533;11.0381;10.7041;10.4535;10.4308;10.2865;10.5978;10.6889;10.78;10.5219;10.3017;10.1727;10.2486;10.0664;10.1347;10.7952;10.9318;10.6661;10.3093;10.3397;10.3397;10.1651;10.5067;"2014-09-26";10.1499
10.8255;10.9166;10.7041;10.2182;10.2713;10.2865;10.4991;10.2486;11.0533;11.0381;10.7041;10.4535;10.4308;10.2865;10.5978;10.2486;10.78;10.5219;10.3017;10.1727;10.2486;10.0664;10.1347;9.99805;10.9318;10.6661;10.3093;10.3397;10.3397;10.1651;10.5067;10.1499;"2014-09-29";10.2865
10.9166;10.7041;10.2182;10.2713;10.2865;10.4991;10.2486;10.0588;11.0381;10.7041;10.4535;10.4308;10.2865;10.5978;10.2486;10.2865;10.5219;10.3017;10.1727;10.2486;10.0664;10.1347;9.99805;9.99805;10.6661;10.3093;10.3397;10.3397;10.1651;10.5067;10.1499;10.2865;"2014-09-30";9.86899
10.7041;10.2182;10.2713;10.2865;10.4991;10.2486;10.0588;10.1954;10.7041;10.4535;10.4308;10.2865;10.5978;10.2486;10.2865;10.2106;10.3017;10.1727;10.2486;10.0664;10.1347;9.99805;9.99805;9.73994;10.3093;10.3397;10.3397;10.1651;10.5067;10.1499;10.2865;9.86899;"2014-10-01";9.90695
10.2182;10.2713;10.2865;10.4991;10.2486;10.0588;10.1954;9.73235;10.4535;10.4308;10.2865;10.5978;10.2486;10.2865;10.2106;10.0892;10.1727;10.2486;10.0664;10.1347;9.99805;9.99805;9.73994;9.73235;10.3397;10.3397;10.1651;10.5067;10.1499;10.2865;9.86899;9.90695;"2014-10-02";9.99046
10.2713;10.2865;10.4991;10.2486;10.0588;10.1954;9.73235;9.9525;10.4308;10.2865;10.5978;10.2486;10.2865;10.2106;10.0892;10.0816;10.2486;10.0664;10.1347;9.99805;9.99805;9.73994;9.73235;9.85381;10.3397;10.1651;10.5067;10.1499;10.2865;9.86899;9.90695;9.99046;"2014-10-03";10.4535
10.2865;10.4991;10.2486;10.0588;10.1954;9.73235;9.9525;10.6281;10.2865;10.5978;10.2486;10.2865;10.2106;10.0892;10.0816;10.6281;10.0664;10.1347;9.99805;9.99805;9.73994;9.73235;9.85381;10.1878;10.1651;10.5067;10.1499;10.2865;9.86899;9.90695;9.99046;10.4535;"2014-10-06";10.4763
10.4991;10.2486;10.0588;10.1954;9.73235;9.9525;10.6281;10.4156;10.5978;10.2486;10.2865;10.2106;10.0892;10.0816;10.6281;10.5598;10.1347;9.99805;9.99805;9.73994;9.73235;9.85381;10.1878;10.4156;10.5067;10.1499;10.2865;9.86899;9.90695;9.99046;10.4535;10.4763;"2014-10-07";10.4915
10.2486;10.0588;10.1954;9.73235;9.9525;10.6281;10.4156;10.5143;10.2486;10.2865;10.2106;10.0892;10.0816;10.6281;10.5598;10.6206;9.99805;9.99805;9.73994;9.73235;9.85381;10.1878;10.4156;10.2941;10.1499;10.2865;9.86899;9.90695;9.99046;10.4535;10.4763;10.4915;"2014-10-08";10.5143
10.0588;10.1954;9.73235;9.9525;10.6281;10.4156;10.5143;10.6737;10.2865;10.2106;10.0892;10.0816;10.6281;10.5598;10.6206;10.6737;9.99805;9.73994;9.73235;9.85381;10.1878;10.4156;10.2941;10.4308;10.2865;9.86899;9.90695;9.99046;10.4535;10.4763;10.4915;10.5143;"2014-10-09";10.3852
